Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Express,Passenger,"531,960",241.297056
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Mail,Passenger,"160,118",72.6295248
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,"64,769",29.3792184
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Express,Passenger,"1,481,410",671.967576
200507,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Mail,Passenger,"213,104",96.6639744
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Combi,"3,343,546","1,516.632466"
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Cargo,Passenger,"97,764",44.3457504
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Combi,"2,123,959",963.4278024
200507,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Cargo,Passenger,"62,104",28.1703744
200507,Evergreen International Airlines,EZ,Evergreen International Airlines,EZ,Domestic,US,Deplaned,Cargo,Freighter,"215,807",97.8900552
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Deplaned,Cargo,Freighter,"8,985,408","4,075.781069"
200507,Federal Express,FX,Federal Express,FX,Domestic,US,Enplaned,Cargo,Freighter,"7,879,802","3,574.278187"
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Cargo,Passenger,"37,720",17.109792
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Express,Passenger,"11,381",5.1624216
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Cargo,Passenger,"79,810",36.201816
200507,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Express,Passenger,"1,664",0.7547904
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Cargo,Passenger,"147,814",67.0484304
200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Cargo,Passenger,"420,021",190.5215256
200507,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,"26,270",11.916072
200507,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,"5,330",2.417688
200507,Icelandair (Inactive),FI,Icelandair (Inactive),FI,International,Europe,Deplaned,Cargo,Passenger,"11,856",5.3778816
200507,Icelandair (Inactive),FI,Icelandair (Inactive),FI,International,Europe,Enplaned,Cargo,Passenger,"82,208",37.2895488
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Freighter,"1,464,911",664.4836296
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Cargo,Passenger,"490,152",222.3329472
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Freighter,"168,662",76.5050832
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Mail,Passenger,"56,433",25.5980088
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Freighter,"1,554,286",705.0241296
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Cargo,Passenger,"520,057",235.8978552
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Freighter,"186,902",84.7787472
200507,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Mail,Passenger,"62,537",28.3667832
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Cargo,Passenger,"702,079",318.4630344
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Mail,Passenger,"141,422",64.1490192
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Cargo,Passenger,"611,446",277.3519056
200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Mail,Passenger,"138,573",62.8567128
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Deplaned,Cargo,Freighter,"922,919",418.6360584
200507,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Enplaned,Cargo,Freighter,"773,224",350.7344064
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Deplaned,Cargo,Freighter,"551,563",250.1889768
200507,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Enplaned,Cargo,Freighter,"580,231",263.1927816
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Freighter,"1,718,657",779.5828152
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Cargo,Passenger,"563,990",255.825864
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Freighter,"48,128",21.8308608
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Express,Passenger,"15,794",7.1641584
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Freighter,"15,433",7.0004088
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Mail,Passenger,"5,065",2.297484
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Freighter,"1,356,880",615.480768
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Cargo,Passenger,"445,270",201.974472
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Mail,Freighter,"7,570",3.433752
200507,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Mail,Passenger,"2,484",1.1267424
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Cargo,Passenger,"910,330",412.925688
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Mail,Passenger,"21,290",9.657144
200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Cargo,Passenger,"910,003",412.7773608
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Cargo,Passenger,"2,504",1.1358144
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Deplaned,Mail,Passenger,"24,380",11.058768
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Cargo,Passenger,"3,448",1.5640128
200507,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Mail,Passenger,"25,840",11.721024
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Deplaned,Cargo,Freighter,"2,276,370","1,032.561432"
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Deplaned,Mail,Freighter,"63,461",28.7859096
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Cargo,Freighter,"2,152,702",976.4656272
200507,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Enplaned,Mail,Freighter,"281,619",127.7423784
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Cargo,Freighter,"54,209",24.5892024
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Cargo,Passenger,"54,209",24.5892024
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Mail,Freighter,355,0.161028
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Deplaned,Mail,Passenger,355,0.161028
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Enplaned,Cargo,Freighter,"122,801",55.7025336
200507,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Enplaned,Cargo,Passenger,"122,801",55.7025336
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Cargo,Freighter,"128,320",58.205952
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Cargo,Passenger,"641,601",291.0302136
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Mail,Freighter,"16,651",7.5528936
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Deplaned,Mail,Passenger,"83,254",37.7640144
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Cargo,Freighter,"83,517",37.8833112
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Cargo,Passenger,"417,586",189.4170096
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Mail,Freighter,"8,747",3.9676392
200507,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Enplaned,Mail,Passenger,"43,733",19.8372888
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Cargo,Passenger,"552,352",250.5468672
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Mail,Passenger,"6,072",2.7542592
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Cargo,Passenger,"39,501",17.9176536
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Mail,Passenger,"34,025",15.43374
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Cargo,Freighter,"24,725",11.21526
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Cargo,Passenger,"888,916",403.2122976
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Mail,Passenger,"36,110",16.379496
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Cargo,Freighter,"201,930",91.595448
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Cargo,Passenger,"261,190",118.475784
200507,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Mail,Passenger,"20,534",9.3142224
200507,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Cargo,Passenger,328,0.1487808
200507,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Cargo,Passenger,"1,243",0.5638248
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Cargo,Passenger,140,0.063504
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Mail,Passenger,"63,854",28.9641744
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Cargo,Passenger,"6,292",2.8540512
200507,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Mail,Passenger,"25,108",11.3889888
200507,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Deplaned,Cargo,Passenger,"8,335",3.780756
200507,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Enplaned,Cargo,Passenger,"4,392",1.9922112
200507,Tradewinds Airlines,WI,Tradewinds Airlines,WI,Domestic,US,Deplaned,Cargo,Freighter,"937,032",425.0377152
200507,Tradewinds Airlines,WI,Tradewinds Airlines,WI,Domestic,US,Enplaned,Cargo,Freighter,"956,199",433.7318664
200507,US Airways,US,US Airways,US,Domestic,US,Deplaned,Cargo,Passenger,"129,362",58.6786032
200507,US Airways,US,US Airways,US,Domestic,US,Deplaned,Express,Passenger,"7,766",3.5226576
200507,US Airways,US,US Airways,US,Domestic,US,Deplaned,Mail,Passenger,"168,389",76.3812504
200507,US Airways,US,US Airways,US,Domestic,US,Enplaned,Cargo,Passenger,"327,497",148.5526392
200507,US Airways,US,US Airways,US,Domestic,US,Enplaned,Express,Passenger,"5,907",2.6794152
200507,US Airways,US,US Airways,US,Domestic,US,Enplaned,Mail,Passenger,"323,412",146.6996832
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Cargo,Passenger,"210,339",95.4097704
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Mail,Passenger,"176,740",80.169264
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Cargo,Passenger,"290,324",131.6909664
200507,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Mail,Passenger,"569,459",258.3066024
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Cargo,Passenger,"93,821",42.5572056
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Express,Passenger,"1,701,955",772.006788
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Mail,Passenger,"1,163,527",527.7758472
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Cargo,Passenger,"226,239",102.6220104
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Express,Passenger,"2,353,533","1,067.562569"
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Mail,Passenger,"2,958,402","1,341.931147"
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Cargo,Passenger,"5,247,516","2,380.273258"
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Express,Passenger,"486,689",220.7621304
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Mail,Passenger,653,0.2962008
